filename,folder,type,width,height,bytes
"62-Nov 12 2025 11_24am-vXkA.jpg","Cardinal/Steel Piers Multifamily",jpg,1440,1920,1005695
"1203 Harwell Dr Arlington.MOV","Cardinal/2025/1203 Harwell Dr",mov,1080,1920,18699566
"6-Jun 02 2025 03_11pm-BBco.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,937912
"5-Jun 02 2025 03_11pm-Vmd6.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,924772
"20-Jun 03 2025 09_05am-mu3w.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,754539
"34-Jun 03 2025 09_06am-SYUf.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,891608
"46-Jun 23 2025 04_47pm-j5Xp.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,797858
"44-Jun 10 2025 11_42am-KQ1i.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,539205
"11-Jun 02 2025 03_12pm-n2BF.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,724668
"43-Jun 10 2025 11_42am-mH1b.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,777530
"2-Jun 02 2025 03_11pm-y7Cd.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,657660
"19-Jun 03 2025 09_05am-fiF5.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,547220
"4-Jun 02 2025 03_11pm-6KA2.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,916432
"29-Jun 03 2025 09_06am-x7ST.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,871632
"42-Jun 10 2025 11_42am-hhim.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,626495
"37-Jun 10 2025 11_41am-mxiG.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,799945
"30-Jun 03 2025 09_06am-epUT.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,840036
"19-Jun 03 2025 09_05am-D1t7.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,547220
"22-Jun 03 2025 09_05am-3Xv2.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,658890
"20-Jun 03 2025 09_05am-DwqJ.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,754539
